epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,748.078,1.94864,1.14783,1.39885,0.87989,0.80819,0.86951,0.42889,1.69002,1.00371,1.32098,0.00041498,0.00041498,0.00041498
2,1499.4,1.86764,1.08093,1.33663,0.87254,0.82188,0.87755,0.43731,1.68977,0.95652,1.29272,0.00079048,0.00079048,0.00079048
3,2234.5,1.82845,1.04519,1.29731,0.8901,0.83461,0.88846,0.45295,1.62033,0.93197,1.25615,0.00112473,0.00112473,0.00112473
4,2945.45,1.7624,1.00972,1.26595,0.91121,0.84307,0.90002,0.45659,1.64392,0.90298,1.27004,0.00106437,0.00106437,0.00106437
5,3668.72,1.71147,0.95978,1.23823,0.90356,0.87329,0.92096,0.48475,1.55704,0.87358,1.2199,0.0010025,0.0010025,0.0010025
6,4384.23,1.67726,0.93767,1.22682,0.87959,0.85987,0.90416,0.4735,1.53116,0.86948,1.20173,0.000940625,0.000940625,0.000940625
7,5096.26,1.64679,0.90789,1.2052,0.90103,0.87694,0.91512,0.4956,1.4902,0.80216,1.1796,0.00087875,0.00087875,0.00087875
8,5801.14,1.62775,0.89458,1.19592,0.92425,0.87526,0.93626,0.51545,1.48599,0.8013,1.18416,0.000816875,0.000816875,0.000816875
9,6509.73,1.59621,0.87002,1.18477,0.91588,0.88744,0.93214,0.51391,1.49399,0.78438,1.18102,0.000755,0.000755,0.000755
10,7203,1.57636,0.85239,1.17224,0.92845,0.8971,0.94452,0.52977,1.4454,0.75635,1.15424,0.000693125,0.000693125,0.000693125
11,7887.44,1.49477,0.78791,1.18817,0.94257,0.91061,0.94861,0.53464,1.44161,0.73951,1.15112,0.00063125,0.00063125,0.00063125
12,8582.2,1.47394,0.76484,1.1835,0.94243,0.90017,0.95023,0.54827,1.39801,0.72632,1.13287,0.000569375,0.000569375,0.000569375
13,9266.75,1.4598,0.75267,1.17338,0.9435,0.90481,0.9523,0.54892,1.39643,0.71021,1.12278,0.0005075,0.0005075,0.0005075
14,9947.5,1.44421,0.74389,1.16143,0.94067,0.92027,0.95706,0.55661,1.3798,0.70751,1.11735,0.000445625,0.000445625,0.000445625
